,tdays,SSE_index
543,20150407,3899.42
544,20150408,3976.532
545,20150409,4006.13
546,20150410,3947.492
547,20150413,4072.723
548,20150414,4125.782
549,20150415,4135.648
550,20150416,4055.916
551,20150417,4254.723
552,20150420,4301.352
553,20150421,4212.185
554,20150422,4304.597
555,20150423,4414.485
556,20150424,4355.951
557,20150427,4441.929
558,20150428,4527.635
559,20150429,4446.119
560,20150430,4483.013
561,20150504,4441.343
562,20150505,4479.848
563,20150506,4311.641
564,20150507,4197.896
565,20150508,4152.984
566,20150511,4231.271
567,20150512,4342.37
568,20150513,4402.378
569,20150514,4372.816
570,20150515,4366.822
571,20150518,4277.895
572,20150519,4285.777
573,20150520,4434.979
574,20150521,4456.435
575,20150522,4584.984
576,20150525,4660.075
577,20150526,4854.85
578,20150527,4932.846
579,20150528,4943.742
580,20150529,4603.465
581,20150601,4633.098
582,20150602,4844.704
583,20150603,4924.381
584,20150604,4912.945
585,20150605,5016.088
586,20150608,5045.694
587,20150609,5145.978
588,20150610,5049.1965
589,20150611,5101.4398
590,20150612,5143.3431
591,20150615,5174.4182
592,20150616,5004.4118
593,20150617,4890.5511
594,20150618,4942.5198
595,20150619,4689.9286
596,20150623,4471.613
597,20150624,4604.5792
598,20150625,4711.7632
599,20150626,4399.933
600,20150629,4289.7713
601,20150630,4006.7537
602,20150701,4214.1499
603,20150702,4058.6241
604,20150703,3793.7121
605,20150706,3975.2142
606,20150707,3654.7775
607,20150708,3467.3986
608,20150709,3432.4536
609,20150710,3707.4577
610,20150713,3918.9895
611,20150714,3958.3729
612,20150715,3874.9681
613,20150716,3758.5045
614,20150717,3831.4205
615,20150720,3948.4208
616,20150721,3939.8978
617,20150722,3996.4268
618,20150723,4022.2677
619,20150724,4124.7549
620,20150727,3985.5702
621,20150728,3573.1428
622,20150729,3689.8249
623,20150730,3773.7884
624,20150731,3655.6668
625,20150803,3614.99
626,20150804,3621.8549
627,20150805,3745.6459
628,20150806,3625.5035
629,20150807,3692.6143
630,20150810,3786.0326
631,20150811,3928.8075
632,20150812,3881.2275
633,20150813,3869.9108
634,20150814,3976.4054
635,20150817,3947.8444
636,20150818,3999.1336
637,20150819,3646.8032
638,20150820,3754.5667
639,20150821,3609.9587
640,20150824,3373.4776
641,20150825,3004.1261
642,20150826,2980.7941
643,20150827,2978.0296
644,20150828,3125.2635
645,20150831,3203.559
646,20150901,3157.8318
647,20150902,3027.6782
648,20150907,3149.3796
649,20150908,3054.444
650,20150909,3182.5524
651,20150910,3190.553
652,20150911,3189.4788
653,20150914,3221.1654
654,20150915,3043.8047
655,20150916,2998.0358
656,20150917,3131.9823
657,20150918,3100.2796
658,20150921,3072.0942
659,20150922,3161.3179
660,20150923,3137.723
661,20150924,3126.4906
662,20150925,3130.8513
663,20150928,3085.5674
664,20150929,3055.2176
665,20150930,3052.8408
666,20151008,3156.0747
667,20151009,3146.6438
668,20151012,3193.5397
669,20151013,3262.1559
670,20151014,3280.0198
671,20151015,3255.0315
672,20151016,3358.2972
673,20151019,3401.6272
674,20151020,3377.5467
675,20151021,3428.5608
676,20151022,3292.2908
677,20151023,3377.5483
678,20151026,3448.6487
679,20151027,3409.1366
680,20151028,3417.0106
681,20151029,3387.7743
682,20151030,3380.2838
683,20151102,3337.5782
684,20151103,3330.3163
685,20151104,3325.6187
686,20151105,3459.2151
687,20151106,3514.4356
688,20151109,3588.4983
689,20151110,3617.396
690,20151111,3635.0036
691,20151112,3656.8171
692,20151113,3600.7639
693,20151116,3522.4608
694,20151117,3629.9765
695,20151118,3605.0606
696,20151119,3573.776
697,20151120,3620.7909
698,20151123,3630.8665
699,20151124,3602.887
700,20151125,3614.0681
701,20151126,3659.5742
702,20151127,3616.5441
703,20151130,3433.8551
